date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:04:59.161000+00:00,9496,1940,-11737,942,1232,1
2024-04-07T05:04:59.401000+00:00,9496,2054,-11788,943,1232,1
2024-04-07T05:04:59.801000+00:00,9496,2209,-11865,944,1232,1
2024-04-07T05:05:00.101000+00:00,9496,2276,-11900,944,1232,1
2024-04-07T05:05:00.361000+00:00,9496,2360,-11944,944,1232,1
2024-04-07T05:05:00.621000+00:00,9496,2483,-12014,944,1232,1
2024-04-07T05:05:01.041000+00:00,9496,2576,-12082,943,1232,1
2024-04-07T05:05:01.481000+00:00,9496,2664,-12171,943,1232,1
2024-04-07T05:05:01.681000+00:00,9496,2718,-12246,943,1232,1
2024-04-07T05:05:02.061000+00:00,9496,2764,-12331,943,1232,1
2024-04-07T05:05:02.222000+00:00,9496,2786,-12386,943,1232,1
2024-04-07T05:05:02.381000+00:00,9496,2800,-12429,943,1232,1
2024-04-07T05:05:02.641000+00:00,9496,2818,-12512,944,1232,1
2024-04-07T05:05:02.801000+00:00,9496,2826,-12564,944,1232,1
2024-04-07T05:05:03.121000+00:00,9496,2833,-12689,944,1232,1
2024-04-07T05:05:03.561000+00:00,9496,2830,-12835,944,1232,1
2024-04-07T05:05:03.862000+00:00,9496,2822,-12920,944,1232,1
2024-04-07T05:05:04.061000+00:00,9496,2815,-12980,944,1232,1
2024-04-07T05:05:04.261000+00:00,9496,2803,-13046,944,1232,1
2024-04-07T05:05:04.422000+00:00,9496,2792,-13099,945,1232,1
2024-04-07T05:05:04.601000+00:00,9496,2779,-13149,945,1232,1
2024-04-07T05:05:04.982000+00:00,9496,2727,-13301,944,1232,1
2024-04-07T05:05:05.341000+00:00,9496,2686,-13389,944,1232,1
2024-04-07T05:05:05.562000+00:00,9496,2647,-13453,944,1232,1
2024-04-07T05:05:05.741000+00:00,9496,2611,-13500,944,1232,1
2024-04-07T05:05:05.941000+00:00,9496,2566,-13548,944,1232,1
2024-04-07T05:05:06.142000+00:00,9496,2516,-13589,944,1232,1
2024-04-07T05:05:06.301000+00:00,9496,2469,-13620,944,1232,1
2024-04-07T05:05:06.441000+00:00,9496,2436,-13638,943,1232,1
2024-04-07T05:05:06.681000+00:00,9496,2367,-13668,943,1232,1
2024-04-07T05:05:06.961000+00:00,9496,2246,-13698,941,1232,1
2024-04-07T05:05:07.321000+00:00,9496,2181,-13704,941,1232,1
2024-04-07T05:05:07.661000+00:00,9496,2075,-13700,938,1232,1
2024-04-07T05:05:07.861000+00:00,9496,2020,-13692,936,1232,1
2024-04-07T05:05:08.081000+00:00,9496,1919,-13665,933,1232,1
2024-04-07T05:05:08.381000+00:00,9496,1866,-13646,930,1232,1
2024-04-07T05:05:08.661000+00:00,9496,1783,-13610,926,1232,1
2024-04-07T05:05:08.881000+00:00,9496,1672,-13548,918,1232,1
2024-04-07T05:05:09.302000+00:00,9496,1593,-13491,912,1232,1
2024-04-07T05:05:09.521000+00:00,9496,1500,-13411,903,1232,1
2024-04-07T05:05:09.901000+00:00,9496,1435,-13347,896,1232,1
2024-04-07T05:05:10.142000+00:00,9496,1348,-13256,887,1232,1
2024-04-07T05:05:11.002000+00:00,9496,1142,-13001,861,1232,1
2024-04-07T05:05:11.222000+00:00,9496,1083,-12923,853,1232,1
2024-04-07T05:05:11.441000+00:00,9496,1023,-12843,846,1232,1
2024-04-07T05:05:11.701000+00:00,9496,953,-12746,837,1232,1
