date,session_key,y,x,z,driver_number,meeting_key
2024-04-07T05:05:59.040000+00:00,9496,-878,-3203,892,22,1232
2024-04-07T05:05:59.320000+00:00,9496,-796,-3115,894,22,1232
2024-04-07T05:05:59.521000+00:00,9496,-705,-3020,896,22,1232
2024-04-07T05:05:59.921000+00:00,9496,-606,-2919,899,22,1232
2024-04-07T05:06:00.101000+00:00,9496,-559,-2872,900,22,1232
2024-04-07T05:06:00.301000+00:00,9496,-503,-2817,901,22,1232
2024-04-07T05:06:00.561000+00:00,9496,-427,-2741,903,22,1232
2024-04-07T05:06:00.861000+00:00,9496,-366,-2680,905,22,1232
2024-04-07T05:06:01.041000+00:00,9496,-327,-2641,905,22,1232
2024-04-07T05:06:01.401000+00:00,9496,-254,-2569,907,22,1232
2024-04-07T05:06:01.561000+00:00,9496,-207,-2522,908,22,1232
2024-04-07T05:06:01.861000+00:00,9496,-164,-2479,910,22,1232
2024-04-07T05:06:02.102000+00:00,9496,-115,-2430,912,22,1232
2024-04-07T05:06:02.361000+00:00,9496,-46,-2360,912,22,1232
2024-04-07T05:06:02.821000+00:00,9496,28,-2278,915,22,1232
2024-04-07T05:06:03.202000+00:00,9496,72,-2226,916,22,1232
2024-04-07T05:06:03.421000+00:00,9496,115,-2169,917,22,1232
2024-04-07T05:06:03.881000+00:00,9496,168,-2079,917,22,1232
2024-04-07T05:06:04.282000+00:00,9496,197,-2013,918,22,1232
2024-04-07T05:06:04.461000+00:00,9496,217,-1951,917,22,1232
2024-04-07T05:06:04.801000+00:00,9496,226,-1910,917,22,1232
2024-04-07T05:06:05.041000+00:00,9496,233,-1861,916,22,1232
2024-04-07T05:06:05.202000+00:00,9496,234,-1829,916,22,1232
2024-04-07T05:06:05.362000+00:00,9496,232,-1793,915,22,1232
2024-04-07T05:06:05.560000+00:00,9496,226,-1759,913,22,1232
2024-04-07T05:06:05.901000+00:00,9496,194,-1685,911,22,1232
2024-04-07T05:06:06.301000+00:00,9496,140,-1616,909,22,1232
2024-04-07T05:06:06.741000+00:00,9496,89,-1557,907,22,1232
2024-04-07T05:06:07.021000+00:00,9496,63,-1519,906,22,1232
2024-04-07T05:06:07.361000+00:00,9496,35,-1453,905,22,1232
2024-04-07T05:06:07.581000+00:00,9496,25,-1397,904,22,1232
2024-04-07T05:06:07.821000+00:00,9496,23,-1347,903,22,1232
2024-04-07T05:06:08.121000+00:00,9496,30,-1284,902,22,1232
2024-04-07T05:06:08.301000+00:00,9496,41,-1245,901,22,1232
2024-04-07T05:06:08.461000+00:00,9496,54,-1210,901,22,1232
2024-04-07T05:06:08.642000+00:00,9496,75,-1169,900,22,1232
2024-04-07T05:06:09.001000+00:00,9496,122,-1104,899,22,1232
2024-04-07T05:06:09.202000+00:00,9496,154,-1069,898,22,1232
2024-04-07T05:06:09.341000+00:00,9496,177,-1044,897,22,1232
2024-04-07T05:06:09.601000+00:00,9496,228,-992,894,22,1232
2024-04-07T05:06:09.881000+00:00,9496,267,-950,891,22,1232
2024-04-07T05:06:10.121000+00:00,9496,303,-907,890,22,1232
2024-04-07T05:06:10.342000+00:00,9496,334,-868,888,22,1232
2024-04-07T05:06:10.501000+00:00,9496,355,-838,886,22,1232
2024-04-07T05:06:10.741000+00:00,9496,384,-794,885,22,1232
2024-04-07T05:06:10.981000+00:00,9496,420,-726,881,22,1232
2024-04-07T05:06:11.382000+00:00,9496,441,-672,879,22,1232
2024-04-07T05:06:11.662000+00:00,9496,461,-600,875,22,1232
2024-04-07T05:06:12.080000+00:00,9496,474,-532,870,22,1232
2024-04-07T05:06:12.241000+00:00,9496,481,-476,866,22,1232
2024-04-07T05:06:12.660000+00:00,9496,488,-384,860,22,1232
2024-04-07T05:06:12.981000+00:00,9496,489,-342,857,22,1232
2024-04-07T05:06:13.200000+00:00,9496,488,-299,854,22,1232
2024-04-07T05:06:13.480000+00:00,9496,486,-238,849,22,1232
2024-04-07T05:06:13.641000+00:00,9496,483,-203,847,22,1232
2024-04-07T05:06:13.921000+00:00,9496,476,-132,841,22,1232
2024-04-07T05:06:14.301000+00:00,9496,452,4,832,22,1232
2024-04-07T05:06:14.601000+00:00,9496,437,19,830,22,1232
2024-04-07T05:06:14.921000+00:00,9496,380,-75,830,22,1232
2024-04-07T05:06:15.121000+00:00,9496,371,-32,830,22,1232
2024-04-07T05:06:15.221000+00:00,9496,367,-11,830,22,1232
2024-04-07T05:06:15.442000+00:00,9496,354,36,830,22,1232
2024-04-07T05:06:15.742000+00:00,9496,336,91,830,22,1232
2024-04-07T05:06:15.901000+00:00,9496,316,143,830,22,1232
2024-04-07T05:06:16.262000+00:00,9496,295,189,830,22,1232
2024-04-07T05:06:16.421000+00:00,9496,283,213,830,22,1232
2024-04-07T05:06:16.602000+00:00,9496,267,244,830,22,1232
2024-04-07T05:06:16.901000+00:00,9496,239,294,830,22,1232
2024-04-07T05:06:17.201000+00:00,9496,211,342,830,22,1232
2024-04-07T05:06:17.261000+00:00,9496,205,352,830,22,1232
2024-04-07T05:06:17.622000+00:00,9496,168,412,830,22,1232
2024-04-07T05:06:17.841000+00:00,9496,137,462,830,22,1232
2024-04-07T05:06:18.242000+00:00,9496,110,506,830,22,1232
2024-04-07T05:06:18.401000+00:00,9496,95,530,830,22,1232
2024-04-07T05:06:18.562000+00:00,9496,80,554,830,22,1232
2024-04-07T05:06:18.801000+00:00,9496,58,590,830,22,1232
2024-04-07T05:06:19.081000+00:00,9496,22,648,830,22,1232
2024-04-07T05:06:19.341000+00:00,9496,10,667,830,22,1232
2024-04-07T05:06:19.681000+00:00,9496,-18,714,830,22,1232
2024-04-07T05:06:20.561000+00:00,9496,-92,827,830,22,1232
2024-04-07T05:06:20.801000+00:00,9496,-113,855,830,22,1232
2024-04-07T05:06:21.041000+00:00,9496,-147,896,830,22,1232
2024-04-07T05:06:21.461000+00:00,9496,-172,925,830,22,1232
2024-04-07T05:06:21.641000+00:00,9496,-188,941,830,22,1232
2024-04-07T05:06:21.801000+00:00,9496,-201,955,830,22,1232
2024-04-07T05:06:22.061000+00:00,9496,-222,975,830,22,1232
2024-04-07T05:06:22.242000+00:00,9496,-238,990,830,22,1232
2024-04-07T05:06:22.381000+00:00,9496,-247,999,830,22,1232
2024-04-07T05:06:22.661000+00:00,9496,-268,1019,830,22,1232
2024-04-07T05:06:22.901000+00:00,9496,-286,1035,830,22,1232
2024-04-07T05:06:23.062000+00:00,9496,-306,1053,830,22,1232
2024-04-07T05:06:23.441000+00:00,9496,-321,1067,830,22,1232
2024-04-07T05:06:23.642000+00:00,9496,-333,1078,830,22,1232
2024-04-07T05:06:23.922000+00:00,9496,-357,1099,830,22,1232
2024-04-07T05:06:24.361000+00:00,9496,-374,1114,830,22,1232
2024-04-07T05:06:24.422000+00:00,9496,-378,1118,830,22,1232
2024-04-07T05:06:24.762000+00:00,9496,-397,1134,830,22,1232
2024-04-07T05:06:24.982000+00:00,9496,-414,1150,830,22,1232
2024-04-07T05:06:25.341000+00:00,9496,-429,1162,830,22,1232
2024-04-07T05:06:25.480000+00:00,9496,-437,1169,830,22,1232
2024-04-07T05:06:25.760000+00:00,9496,-452,1182,830,22,1232
2024-04-07T05:06:25.921000+00:00,9496,-461,1189,830,22,1232
2024-04-07T05:06:26.121000+00:00,9496,-472,1198,830,22,1232
2024-04-07T05:06:26.361000+00:00,9496,-485,1209,830,22,1232
2024-04-07T05:06:26.601000+00:00,9496,-503,1224,830,22,1232
2024-04-07T05:06:26.861000+00:00,9496,-514,1233,830,22,1232
2024-04-07T05:06:27.081000+00:00,9496,-524,1242,830,22,1232
2024-04-07T05:06:27.301000+00:00,9496,-536,1252,830,22,1232
2024-04-07T05:06:27.641000+00:00,9496,-561,1273,830,22,1232
2024-04-07T05:06:27.881000+00:00,9496,-568,1278,830,22,1232
2024-04-07T05:06:28.141000+00:00,9496,-593,1299,830,22,1232
2024-04-07T05:06:28.601000+00:00,9496,-615,1317,830,22,1232
2024-04-07T05:06:28.841000+00:00,9496,-632,1331,830,22,1232
2024-04-07T05:06:29.021000+00:00,9496,-645,1342,830,22,1232
2024-04-07T05:06:29.181000+00:00,9496,-657,1352,830,22,1232
2024-04-07T05:06:29.421000+00:00,9496,-755,1434,830,22,1232
2024-04-07T05:06:29.661000+00:00,9496,-790,1464,830,22,1232
2024-04-07T05:06:30.001000+00:00,9496,-810,1481,830,22,1232
2024-04-07T05:06:30.202000+00:00,9496,-825,1494,830,22,1232
2024-04-07T05:06:30.462000+00:00,9496,-844,1510,830,22,1232
2024-04-07T05:06:30.581000+00:00,9496,-853,1518,830,22,1232
2024-04-07T05:06:30.821000+00:00,9496,-871,1533,830,22,1232
2024-04-07T05:06:31.101000+00:00,9496,-900,1557,830,22,1232
2024-04-07T05:06:31.522000+00:00,9496,-923,1577,830,22,1232
2024-04-07T05:06:31.642000+00:00,9496,-942,1592,830,22,1232
2024-04-07T05:06:31.980000+00:00,9496,-956,1604,830,22,1232
2024-04-07T05:06:32.201000+00:00,9496,-971,1617,830,22,1232
2024-04-07T05:06:32.560000+00:00,9496,-996,1639,830,22,1232
2024-04-07T05:06:32.741000+00:00,9496,-1009,1649,830,22,1232
2024-04-07T05:06:32.941000+00:00,9496,-1022,1661,830,22,1232
2024-04-07T05:06:33.121000+00:00,9496,-1036,1672,830,22,1232
2024-04-07T05:06:33.380000+00:00,9496,-1053,1686,830,22,1232
2024-04-07T05:06:33.461000+00:00,9496,-1058,1691,830,22,1232
2024-04-07T05:06:33.801000+00:00,9496,-1089,1717,830,22,1232
2024-04-07T05:06:34.241000+00:00,9496,-1111,1736,830,22,1232
2024-04-07T05:06:34.461000+00:00,9496,-1125,1748,830,22,1232
2024-04-07T05:06:34.561000+00:00,9496,-1132,1754,830,22,1232
2024-04-07T05:06:34.781000+00:00,9496,-1147,1766,830,22,1232
2024-04-07T05:06:35.001000+00:00,9496,-1161,1778,830,22,1232
2024-04-07T05:06:35.281000+00:00,9496,-1184,1797,830,22,1232
2024-04-07T05:06:35.622000+00:00,9496,-1202,1813,830,22,1232
2024-04-07T05:06:35.781000+00:00,9496,-1212,1822,830,22,1232
