date,session_key,rpm,brake,speed,drs,throttle,n_gear,driver_number,meeting_key,x,y,z,driver,mds_x,mds_y
2024-04-07 05:39:08.930000+00:00,9496,11148,0,232,0,86,5,1,1232,4104.0,-5938.0,591.0,1,0.3961788198130748,-0.026742829725548017
2024-04-07 05:39:10.250000+00:00,9496,10834,0,213,0,68,5,1,1232,3424.0,-5458.0,607.0,1,0.17095795090178392,-0.024248470795602568
2024-04-07 05:39:10.850000+00:00,9496,10737,0,214,0,0,5,1,1232,3073.0,-5427.0,618.0,1,-0.45253807388778045,0.17799945249954544
2024-04-07 05:39:11.250000+00:00,9496,10127,100,204,0,0,5,1,1232,2861.0,-5386.0,628.0,1,-0.9077372272773637,0.5881029129378227
2024-04-07 05:39:11.971000+00:00,9496,9590,0,187,0,39,5,1,1232,2518.0,-5159.0,649.0,1,-0.20735843492111902,-0.1348044418613391
2024-04-07 05:39:12.571000+00:00,9496,9793,0,187,0,63,5,1,1232,2373.0,-4910.0,661.0,1,0.010801176130172672,-0.17118577081752315
2024-04-07 05:39:13.370000+00:00,9496,10443,0,201,0,97,5,1,1232,2253.0,-4502.0,679.0,1,0.36255270368757847,-0.18414520160113296
2024-04-07 05:39:13.810000+00:00,9496,10314,0,206,0,0,5,1,1232,2155.0,-4194.0,695.0,1,-0.4882207562796758,0.08631261055254312
2024-04-07 05:39:14.130000+00:00,9496,9989,0,201,0,0,5,1,1232,2026.0,-4004.0,706.0,1,-0.5134671756772826,0.025229521484087126
2024-04-07 05:39:14.890000+00:00,9496,9678,0,186,0,57,5,1,1232,1846.0,-3852.0,717.0,1,-0.04916207434378697,-0.1695881071679548
2024-04-07 05:39:15.690000+00:00,9496,10186,0,194,0,85,5,1,1232,1387.0,-3710.0,738.0,1,0.2311261481849367,-0.18242010442817003
2024-04-07 05:39:16.370000+00:00,9496,10612,100,205,0,92,5,1,1232,1076.0,-3691.0,751.0,1,-0.13891379170976728,0.8883708346860147
2024-04-07 05:39:16.930000+00:00,9496,9499,100,193,0,0,5,1,1232,662.0,-3591.0,759.0,1,-0.9724852235450109,0.5080611760187044
2024-04-07 05:39:17.290000+00:00,9496,9160,100,183,0,0,5,1,1232,580.0,-3546.0,759.0,1,-1.0194910226823184,0.4546584414116763
2024-04-07 05:39:17.970000+00:00,9496,8600,0,171,0,0,5,1,1232,333.0,-3342.0,757.0,1,-0.649270515867223,-0.23908311495802242
2024-04-07 05:39:18.571000+00:00,9496,8290,0,163,0,11,5,1,1232,152.0,-3037.0,751.0,1,-0.5888127199776978,-0.3134406227558081
2024-04-07 05:39:19.011000+00:00,9496,8521,0,162,0,48,5,1,1232,124.0,-2844.0,746.0,1,-0.25889397703936695,-0.3660838942435836
2024-04-07 05:39:19.491000+00:00,9496,8690,0,165,0,67,5,1,1232,163.0,-2638.0,741.0,1,-0.08829021867252529,-0.38727126551635405
2024-04-07 05:39:20.210000+00:00,9496,9507,0,181,0,100,5,1,1232,267.0,-2377.0,739.0,1,0.2849129594285938,-0.35038795874020284
2024-04-07 05:39:20.890000+00:00,9496,10248,0,197,0,65,5,1,1232,413.0,-2005.0,748.0,1,0.07731863371648057,-0.10593385467558651
2024-04-07 05:39:21.250000+00:00,9496,10407,0,199,0,75,5,1,1232,463.0,-1819.0,759.0,1,0.17674507663689876,-0.11972958315824052
2024-04-07 05:39:21.810000+00:00,9496,10589,0,202,0,80,5,1,1232,428.0,-1507.0,782.0,1,0.23835050083890114,-0.11599348332561131
2024-04-07 05:39:22.250000+00:00,9496,10713,0,207,0,84,5,1,1232,275.0,-1252.0,803.0,1,0.2900651793568849,-0.10699142148765665
2024-04-07 05:39:22.770000+00:00,9496,11081,0,212,0,92,5,1,1232,119.0,-1114.0,817.0,1,0.40259030989888295,-0.10873050408629613
2024-04-07 05:39:23.370000+00:00,9496,11598,0,221,0,100,5,1,1232,-250.0,-929.0,846.0,1,0.5471432906478039,-0.11169202938937281
2024-04-07 05:39:24.170000+00:00,9496,10890,0,237,0,100,6,1,1232,-702.0,-768.0,869.0,1,0.5253646626424822,0.20104849005970782
2024-04-07 05:39:24.610000+00:00,9496,11119,0,245,0,100,6,1,1232,-1098.0,-705.0,879.0,1,0.5637224357629544,0.22154316311211167
2024-04-07 05:39:25.171000+00:00,9496,11415,0,253,0,100,6,1,1232,-1473.0,-703.0,881.0,1,0.613749588429816,0.23985663575597635
2024-04-07 05:39:25.651000+00:00,9496,11606,0,258,0,100,6,1,1232,-1779.0,-745.0,879.0,1,0.6489929957526388,0.25030919941693686
